runner_id,gender,age,segment_name,segment_distance_miles,elevation_gain_feet,elevation_loss_feet,mean_grade,cumulative_miles_completed,elapsed_hours_at_segment_start,velocity_mph
316,M,37,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,5.666944444444445,5.9536082474226815
316,M,37,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,6.960277777777778,4.686503719447395
316,M,37,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,9.051388888888889,4.343974339392089
316,M,37,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,10.870000000000001,4.725984580120864
316,M,37,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,12.203055555555554,5.263157894736841
316,M,37,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,15.243055555555555,2.739957716701896
316,M,37,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,15.9,4.736842105263153
316,M,37,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,17.040000000000003,4.290204295442642
316,M,37,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,19.16111111111111,4.921223354958289
246,M,45,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,5.365359571697295
246,M,45,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,1.919722222222222,5.541561712846347
246,M,45,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,2.9122222222222223,5.685655157390261
246,M,45,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,5.4625,6.472098996030817
246,M,45,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,6.652222222222223,5.051546391752577
246,M,45,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,8.592222222222222,4.420954453598636
246,M,45,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,10.379166666666666,4.710280373831773
246,M,45,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,11.716666666666667,4.96295019817336
246,M,45,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,14.940555555555555,2.5982357658380075
246,M,45,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,15.633333333333333,4.196891191709842
246,M,45,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,16.92,3.6206896551724137
246,M,45,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,19.433333333333334,4.464060529634309
389,F,32,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,4.633262526552542
389,F,32,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,2.223055555555556,4.913151364764268
389,F,32,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,3.3425000000000002,5.3759011328527295
389,F,32,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,6.039722222222222,6.014319809069215
389,F,32,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,7.319999999999999,4.69461077844311
389,F,32,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,9.4075,4.07041648776299
389,F,32,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,11.348333333333334,4.784810126582277
389,F,32,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,12.665000000000001,5.366126327557296
389,F,32,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,15.646666666666667,3.1578947368421084
389,F,32,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,16.216666666666665,4.721884867622052
389,F,32,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,17.360277777777778,4.274530271398747
389,F,32,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,19.489166666666666,4.614381924831636
388,M,36,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,4.632683658170914
388,M,36,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,2.2233333333333336,4.964894684052158
388,M,36,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,3.331111111111111,5.22417934347478
388,M,36,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,6.1066666666666665,6.3432494279176215
388,M,36,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,7.320555555555555,4.86620689655172
388,M,36,Devil's Thumb_to_Michigan Bluff,7.900000000000006,2262.89705404,2948.82883452,-0.013860776276281794,47.8,9.334444444444445,4.056482670089862
388,M,36,Michigan Bluff_to_Foresthill,6.299999999999997,1531.1450621200022,1449.0846920400024,-0.018318636156226434,55.7,11.281944444444445,4.698570540708515
388,M,36,Foresthill_to_Rucky Chucky,16.0,2334.314379159998,4858.340050479998,-0.031168987128378137,62.0,12.622777777777777,5.289741941408762
388,M,36,Rucky Chucky_to_Green Gate,1.7999999999999972,690.0164262800002,118.74016128000021,0.06353791274564467,78.0,15.647499999999999,3.7049742710119977
388,M,36,Green Gate_to_Auburn Lake Trails,5.400000000000006,1046.6142067200008,886.0597396400007,0.004705208642353355,79.8,16.133333333333333,4.686595949855347
388,M,36,Auburn Lake Trails_to_Pointed Rocks,9.099999999999994,1617.2408653999992,1695.8071408799995,-0.008060583729981825,85.2,17.285555555555558,4.174311926605509
388,M,36,Pointed Rocks_to_Finish,5.900000000000006,1250.07549932,1342.8314077999999,5.891218507828883e-05,94.3,19.465555555555554,4.1860465116279055
149,M,25,Start_to_Lyon Ridge,10.3,3119.632645759996,2420.8301299599966,-0.0045734890175560495,0.0,0.0,4.778966361644542
149,M,25,Lyon Ridge_to_Red Star Ridge,5.5,1428.9961087199954,1068.8681444399945,0.009060059742034849,10.3,2.1552777777777776,4.924148221835364
149,M,25,Red Star Ridge_to_Robinson Flat,14.5,2667.040767760004,3404.511263800005,-0.019540777186332042,15.8,3.272222222222222,5.451127819548872
149,M,25,Robinson Flat_to_Dusty Corners,7.699999999999999,673.2644572400015,1657.1883732400017,-0.01889194530219063,30.3,5.932222222222222,5.938303341902312
149,M,25,Dusty Corners_to_Devil's Thumb,9.799999999999997,1734.1864071999964,3369.6096878799963,-0.0013904429802586353,38.0,7.228888888888889,5.1323828920570245
