lat,lon,ele,dist_delta_meters,cumulative_dist_meters,cumulative_dist_miles,ele_delta_meters,raw_grade,smoothed_grade
39.1897828,-120.2618568,2403.412,20.481561805544352,3708.1152614022226,2.3041152880927607,3.5539999999996326,0.17352192346179215,0.12591531721033797
39.1900323,-120.26194,2407.455,28.97036985676565,3737.085631258988,2.3221166357810286,4.04300000000012,0.13955638191674416,0.11610222334589067
39.190369,-120.2619695,2411.007,37.735138053139,3774.820769312127,2.345564156248246,3.5520000000001346,0.09412977355477466,0.10638679324845735
39.1904813,-120.2620473,2411.066,14.189429522678463,3789.0101988348056,2.354381056260182,0.058999999999741704,0.004158024810331106,0.10055416773772315
39.1905852,-120.2621733,2412.63,15.949928272186554,3804.9601271069923,2.364291879140599,1.5640000000003056,0.09805686729811851,0.09993732902927137
39.1909054,-120.2630853,2419.36,86.64430090079466,3891.604428007787,2.418130135035627,6.730000000000018,0.07767389118536121,0.1071007555552429
39.1909262,-120.2632006,2420.561,10.284091658063199,3901.8885196658503,2.4245203713532892,1.2010000000000218,0.11678231193694028,0.11459289316578776
39.1908908,-120.263324,2422.51,11.51863664713219,3913.4071563129824,2.4316777181253544,1.9490000000000691,0.16920405250262965,0.13792050420376015
39.1908014,-120.2635252,2426.376,20.379507161427558,3933.78666347441,2.4443409528697577,3.8659999999999854,0.18970036759854486,0.14406413944267923
39.1907744,-120.2636485,2428.014,11.17518636185903,3944.9618498362693,2.4512848895946124,1.63799999999992,0.14657473682858863,0.1624779239162137
39.1908305,-120.2638551,2431.222,19.15780862988721,3964.1196584661566,2.463188996300774,3.2080000000000837,0.16745130207613784,0.161526462539134
39.1909178,-120.2639436,2432.983,12.48384455374516,3976.603503019902,2.4709460952749795,1.7609999999999673,0.14106231397055216,0.14736076707107051
39.1910031,-120.263898,2435.153,10.504894136982786,3987.1083971568846,2.4774735318497707,2.169999999999618,0.20657038250010248,0.13195218410436274
39.1915165,-120.2631711,2444.554,85.36889063369777,4072.4772877905825,2.530519284791722,9.401000000000295,0.1101220822973823,0.12160152478105464
39.1916932,-120.262978,2446.364,25.840832040460747,4098.318119831043,2.546576028437535,1.8099999999999454,0.07004418422618534,0.10219227355981413
39.1918533,-120.2628573,2448.059,20.711071107168884,4119.029190938212,2.559445287402468,1.6950000000001637,0.0818402868315903,0.07782114043161084
39.1920362,-120.2628305,2449.582,20.54772668789005,4139.576917626102,2.5722130488822486,1.5229999999996835,0.07412012156543207,0.04963113559521154
39.1924083,-120.2628868,2450.9,41.726629533067985,4181.30354715917,2.598140766401841,1.318000000000211,0.031586543527454276,0.03992889989080572
39.1927118,-120.2629565,2449.886,34.33143002156762,4215.634977180738,2.6194733214057724,-1.0140000000001237,-0.02953561792687082,0.032982094411608404
39.1929696,-120.2630692,2450.166,30.3018869469172,4245.936864127655,2.638302035199865,0.2800000000002001,0.00924034864530726,0.023332179640436653
39.193217,-120.2632784,2451.557,32.95706180326941,4278.8939259309245,2.6587805976496246,1.3909999999996217,0.04220643236654159,0.017069506654842876
39.1933417,-120.2633642,2451.894,15.735497312088254,4294.629423243013,2.668558179349934,0.3369999999999891,0.021416545871804155,0.028822391243799986
39.1935808,-120.2634769,2452.299,28.339745536933822,4322.969168779947,2.6861676753739645,0.4050000000002001,0.014290883433388036,0.051824415588884155
39.1937783,-120.2635413,2452.986,22.687186127857938,4345.656354907805,2.7002648349054175,0.6869999999998981,0.03028141066627564,0.06504621316496649
39.1938676,-120.2636378,2454.472,13.051489589217995,4358.707844497023,2.7083746520429597,1.486000000000331,0.11385673565015406,0.07023246210873883
39.1939342,-120.2637451,2456.045,11.963928490426895,4370.67177298745,2.715808690252985,1.5729999999998654,0.13147855248871834,0.08355565525982277
39.1940402,-120.2642225,2460.429,43.06782335214456,4413.739596339595,2.7425697867171306,4.3840000000000146,0.10179293167788368,0.09733667108986135
